Depth,Density,Block_densities,Density_Kg_m3,Block_Density_Kg_m3,Depth_m,pp,Sv,Sv_block,overburdenStressGradient,overburdenStressGradientBlock,Continuous_porosity,Block_porosity
0,1.0,1.0,1000.0,1000.0,0.0,0.0,0.4332343075200001,0.4332343075200001,inf,inf,1.0,1.0
1,1.0,1.0,1000.0,1000.0,0.3048,0.44,0.8664686150400002,0.8664686150400002,0.8664686150400002,0.8664686150400002,1.0,1.0
2,1.0,1.0,1000.0,1000.0,0.6096,0.88,1.2997029225600003,1.2997029225600003,0.6498514612800002,0.6498514612800002,1.0,1.0
3,1.0,1.0,1000.0,1000.0,0.9144000000000001,1.32,1.7329372300800003,1.7329372300800003,0.5776457433600001,0.5776457433600001,1.0,1.0
4,1.0,1.0,1000.0,1000.0,1.2192,1.76,2.1661715376000004,2.1661715376000004,0.5415428844000001,0.5415428844000001,1.0,1.0
5,1.0,1.0,1000.0,1000.0,1.524,2.2,2.5994058451200006,2.5994058451200006,0.5198811690240002,0.5198811690240002,1.0,1.0
6,1.0,1.0,1000.0,1000.0,1.8288000000000002,2.64,3.032640152640001,3.032640152640001,0.5054400254400001,0.5054400254400001,1.0,1.0
7,1.0,1.0,1000.0,1000.0,2.1336,3.08,3.465874460160001,3.465874460160001,0.49512492288000015,0.49512492288000015,1.0,1.0
8,1.0,1.0,1000.0,1000.0,2.4384,3.52,3.8991087676800014,3.8991087676800014,0.48738859596000017,0.48738859596000017,1.0,1.0
9,1.0,1.0,1000.0,1000.0,2.7432000000000003,3.96,4.332343075200002,4.332343075200002,0.48137145280000015,0.48137145280000015,1.0,1.0
10,1.0,1.0,1000.0,1000.0,3.048,4.4,4.765577382720002,4.765577382720002,0.4765577382720002,0.4765577382720002,1.0,1.0
11,1.0,1.0,1000.0,1000.0,3.3528000000000002,4.84,5.198811690240002,5.198811690240002,0.47261924456727294,0.47261924456727294,1.0,1.0
12,1.0,1.0,1000.0,1000.0,3.6576000000000004,5.28,5.632045997760002,5.632045997760002,0.4693371664800002,0.4693371664800002,1.0,1.0
13,1.0,1.0,1000.0,1000.0,3.9624,5.72,6.065280305280003,6.065280305280003,0.4665600234830771,0.4665600234830771,1.0,1.0
14,1.0,1.0,1000.0,1000.0,4.2672,6.16,6.498514612800003,6.498514612800003,0.46417961520000023,0.46417961520000023,1.0,1.0
15,1.0,1.0,1000.0,1000.0,4.572,6.6,6.931748920320003,6.931748920320003,0.4621165946880002,0.4621165946880002,1.0,1.0
